Generation,GA Fitness,DE Fitness,PSO Fitness
1,8.185675226698045,4.395422887053016,3.8526054880042118
2,5.186097023883608,4.395422887053016,2.4785087251064972
3,5.09115682237309,4.395422887053016,2.4785087251064972
4,4.408798961002709,4.395422887053016,1.8449194576926011
5,4.496032151189574,3.939146471841042,1.2917530550452163
6,4.216544938216579,1.3053975703237164,1.2917530550452163
7,4.086711575795761,1.3053975703237164,1.2917530550452163
8,1.6821157443498969,1.3053975703237164,1.2240174688742513
9,2.9148693497799663,1.3053975703237164,0.7388107135254067
10,2.47976211092573,1.3053975703237164,0.7388107135254067
11,2.2529864180402583,1.3053975703237164,0.033355685574896654
12,1.2876709481123854,1.3053975703237164,0.02635469722442707
13,1.2016651178941942,1.3053975703237164,0.005547532408190392
14,1.2083399426740833,1.3053975703237164,0.005547532408190392
15,1.0103614656146753,1.3053975703237164,0.005547532408190392
16,0.9962912953952916,1.3053975703237164,0.005547532408190392
17,1.0132484632872831,1.3053975703237164,0.005547532408190392
18,1.0616576968880302,1.0359629111105662,0.005547532408190392
19,0.35659759332907015,1.0359629111105662,0.005547532408190392
20,0.35659759332907015,1.0359629111105662,0.005547532408190392
21,0.04704672141943078,1.0359629111105662,0.005547532408190392
22,0.012178038645725309,1.0359629111105662,0.005547532408190392
23,0.012178038645725309,1.0359629111105662,0.005547532408190392
24,0.012178038645725309,0.019655163637974482,0.003270390022901637
25,0.0031191938772074934,0.019655163637974482,0.0010882364492701413
26,0.0027314949464241067,0.019655163637974482,0.0008706451262590065
27,0.0014640177319265035,0.019655163637974482,0.0008706451262590065
28,0.0013200359431309039,0.019655163637974482,0.00015356710412817165
29,0.0010584565902718168,0.019655163637974482,0.00015356710412817165
30,0.0010155991262514874,0.019655163637974482,0.00015356710412817165
31,0.0009350571639679117,0.019655163637974482,0.00015356710412817165
32,0.001021902020521992,0.019655163637974482,0.00015356710412817165
33,0.0008812142239413845,0.019655163637974482,0.00014940189679890636
34,0.0008373086068722557,0.019655163637974482,0.00014940189679890636
35,0.0008024332493050679,0.019655163637974482,0.00014940189679890636
36,0.0007901185236427466,0.019655163637974482,0.00014940189679890636
37,0.0007868853545822674,0.019655163637974482,0.00014940189679890636
38,0.0007703954314379757,0.019655163637974482,0.00014940189679890636
39,0.0007652729436635752,0.019655163637974482,0.00014940189679890636
40,0.0007653951259491976,0.019655163637974482,0.00014940189679890636
41,0.0007641191138105796,0.019655163637974482,1.2199302730664385e-05
42,0.0007624875555194421,0.019374490709758163,1.2199302730664385e-05
43,0.0007624702619182244,0.015491590289510526,1.2199302730664385e-05
44,0.0007622819425385785,0.015491590289510526,1.2199302730664385e-05
45,0.0007622306309968963,0.015491590289510526,8.680592124221675e-06
46,0.0007622104366085125,0.009399124364637856,3.8113760325586554e-06
47,0.0007622056885061568,0.009399124364637856,1.9572901379660834e-06
48,0.0007622024812938832,0.007250512939737774,1.9572901379660834e-06
49,0.0007621891922831026,0.007250512939737774,8.312082719896807e-07
50,0.000762176897609379,0.0018771981309981811,8.312082719896807e-07
51,0.0007621714395504853,0.0018771981309981811,8.312082719896807e-07
52,0.0007621665389798693,0.00040075124777061433,8.312082719896807e-07
53,0.0007621665389798693,9.218073097727597e-05,8.312082719896807e-07
54,0.0007621644884849843,9.218073097727597e-05,2.133532248649317e-07
55,0.0007621638835679789,3.446144134500173e-07,1.7776304872541004e-08
56,0.0007621634318439874,3.446144134500173e-07,1.7776304872541004e-08
57,0.0007621634450245551,3.446144134500173e-07,1.7776304872541004e-08
58,0.0007621632770522524,3.446144134500173e-07,1.7776304872541004e-08
59,0.0007621632401786371,3.446144134500173e-07,1.7776304872541004e-08
60,0.0007621632569723147,3.446144134500173e-07,1.7776304872541004e-08
61,0.0007621632428325142,3.446144134500173e-07,8.084487745918523e-09
62,0.0007621632276340051,3.446144134500173e-07,8.084487745918523e-09
63,0.0007621632185887961,3.446144134500173e-07,8.084487745918523e-09
64,0.0007621632100338616,3.446144134500173e-07,4.6832013822495355e-09
65,0.0007621632129435341,3.446144134500173e-07,4.6832013822495355e-09
66,0.0007621632099734654,1.9264110306949078e-07,4.6832013822495355e-09
67,0.0007621632093481878,1.9264110306949078e-07,1.821366168996974e-09
68,0.0007621632078169682,1.9264110306949078e-07,1.821366168996974e-09
69,0.0007621632074759077,8.847229793218503e-08,7.201492735475767e-10
70,0.0007621632064314099,8.847229793218503e-08,7.201492735475767e-10
71,0.0007621632059660044,8.847229793218503e-08,7.201492735475767e-10
72,0.0007621632059660044,3.801194026209487e-09,7.201492735475767e-10
73,0.0007621632059660044,3.801194026209487e-09,7.201492735475767e-10
74,0.0007621632056142857,3.801194026209487e-09,7.201492735475767e-10
75,0.0007621632055787586,3.801194026209487e-09,3.3299940582764975e-10
76,0.0007621632054508609,3.801194026209487e-09,3.3299940582764975e-10
77,0.0007621632053869121,1.4301981821063237e-09,1.81607617832924e-10
78,0.0007621632053869121,1.4301981821063237e-09,1.81607617832924e-10
79,0.0007621632053762539,6.608722458167904e-10,1.81607617832924e-10
80,0.0007621632053655958,6.608722458167904e-10,1.81607617832924e-10
81,0.0007621632053584904,3.034372753063508e-11,1.81607617832924e-10
82,0.0007621632053513849,3.034372753063508e-11,3.604938569878868e-11
83,0.0007621632053478322,3.034372753063508e-11,3.604938569878868e-11
84,0.0007621632053478322,3.034372753063508e-11,3.3573144264664734e-11
85,0.0007621632053478322,3.034372753063508e-11,3.3573144264664734e-11
86,0.0007621632053478322,2.76649814168195e-11,3.3573144264664734e-11
87,0.0007621632053478322,2.76649814168195e-11,3.3573144264664734e-11
88,0.0007621632053478322,2.1611157308143447e-11,3.3573144264664734e-11
89,0.0007621632053478322,8.835598919176846e-12,3.3573144264664734e-11
90,0.0007621632053478322,8.835598919176846e-12,3.213074251107173e-11
91,0.0007621632053442795,8.277822871605167e-13,3.1938895972416503e-11
92,0.0007621632053442795,8.277822871605167e-13,3.1938895972416503e-11
93,0.0007621632053442795,1.2079226507921703e-13,3.1938895972416503e-11
94,0.0007621632053442795,1.2079226507921703e-13,7.425171588693047e-13
95,0.0007621632053442795,1.2079226507921703e-13,7.425171588693047e-13
96,0.0007621632053407268,1.2079226507921703e-13,6.394884621840902e-14
97,0.0007621632053407268,1.2079226507921703e-13,6.394884621840902e-14
98,0.0007621632053407268,4.973799150320701e-14,6.394884621840902e-14
99,0.0007621632053407268,4.973799150320701e-14,6.394884621840902e-14
100,0.0007621632053407268,0.0,6.394884621840902e-14
